Month,YYYY,BBK
Jan,1965,12
Feb,1965,22
Mar,1965,26
Apr,1965,24
May,1965,26
Jun,1965,15
Jly,1965,13
Aug,1965,15
Sep,1965,18
Oct,1965,25
Nov,1965,17
Dec,1965,26
Jan,1966,30
Feb,1966,33
Mar,1966,25
Apr,1966,11
May,1966,15
Jun,1966,31
Jly,1966,31
Aug,1966,16
Sep,1966,16
Oct,1966,25
Nov,1966,24
Dec,1966,20
Jan,1967,25
Feb,1967,22
Mar,1967,27
Apr,1967,41
May,1967,21
Jun,1967,11
Jly,1967,4
Aug,1967,12
Sep,1967,8
Oct,1967,15
Nov,1967,8
Dec,1967,8
Jan,1968,14
Feb,1968,28
Mar,1968,35
Apr,1968,33
May,1968,22
Jun,1968,20
Jly,1968,14
Aug,1968,13
Sep,1968,3
Oct,1968,19
Nov,1968,20
Dec,1968,34
Jan,1969,16
Feb,1969,36
Mar,1969,19
Apr,1969,15
May,1969,3
Jun,1969,7
Jly,1969,10
Aug,1969,11
Sep,1969,9
Oct,1969,15
Nov,1969,27
Dec,1969,12
Jan,1970,31
Feb,1970,19
Mar,1970,39
Apr,1970,41
May,1970,10
Jun,1970,14
Jly,1970,16
Aug,1970,16
Sep,1970,15
Oct,1970,13
Nov,1970,14
Dec,1970,14
Jan,1971,16
Feb,1971,19
Mar,1971,22
Apr,1971,40
May,1971,23
Jun,1971,8
Jly,1971,14
Aug,1971,9
Sep,1971,18
Oct,1971,22
Nov,1971,15
Dec,1971,16
Jan,1972,12
Feb,1972,27
Mar,1972,21
Apr,1972,39
May,1972,16
Jun,1972,31
Jly,1972,19
Aug,1972,11
Sep,1972,17
Oct,1972,27
Nov,1972,19
Dec,1972,23
Jan,1973,19
Feb,1973,12
Mar,1973,21
Apr,1973,21
May,1973,9
Jun,1973,13
Jly,1973,17
Aug,1973,31
Sep,1973,34
Oct,1973,6
Nov,1973,7
Dec,1973,12
Jan,1974,13
Feb,1974,20
Mar,1974,18
Apr,1974,23
May,1974,15
Jun,1974,16
Jly,1974,10
Aug,1974,15
Sep,1974,13
Oct,1974,7
Nov,1974,4
Dec,1974,7
Jan,1975,13
Feb,1975,10
Mar,1975,8
Apr,1975,5
May,1975,4
Jun,1975,8
Jly,1975,13
Aug,1975,12
Sep,1975,6
Oct,1975,8
Nov,1975,4
Dec,1975,8
Jan,1976,9
Feb,1976,9
Mar,1976,8
Apr,1976,12
May,1976,5
Jun,1976,10
Jly,1976,13
Aug,1976,2
Sep,1976,4
Oct,1976,0
Nov,1976,4
Dec,1976,13
Jan,1977,8
Feb,1977,9
Mar,1977,9
Apr,1977,11
May,1977,6
Jun,1977,15
Jly,1977,11
Aug,1977,9
Sep,1977,3
Oct,1977,6
Nov,1977,5
Dec,1977,5
Jan,1978,8
Feb,1978,23
Mar,1978,34
Apr,1978,25
May,1978,12
Jun,1978,9
Jly,1978,9
Aug,1978,7
Sep,1978,8
Oct,1978,9
Nov,1978,6
Dec,1978,14
Jan,1979,14
Feb,1979,14
Mar,1979,19
Apr,1979,14
May,1979,15
Jun,1979,8
Jly,1979,7
Aug,1979,6
Sep,1979,4
Oct,1979,11
Nov,1979,22
Dec,1979,17
Jan,1980,20
Feb,1980,25
Mar,1980,22
Apr,1980,22
May,1980,12
Jun,1980,14
Jly,1980,9
Aug,1980,4
Sep,1980,4
Oct,1980,10
Nov,1980,10
Dec,1980,8
Jan,1981,9
Feb,1981,14
Mar,1981,51
Apr,1981,22
May,1981,8
Jun,1981,16
Jly,1981,10
Aug,1981,8
Sep,1981,3
Oct,1981,12
Nov,1981,14
Dec,1981,19
Jan,1982,8
Feb,1982,14
Mar,1982,20
Apr,1982,23
May,1982,21
Jun,1982,12
Jly,1982,17
Aug,1982,12
Sep,1982,7
Oct,1982,23
Nov,1982,13
Dec,1982,23
Jan,1983,10
Feb,1983,22
Mar,1983,20
Apr,1983,20
May,1983,24
Jun,1983,30
Jly,1983,13
Aug,1983,36
Sep,1983,23
Oct,1983,20
Nov,1983,18
Dec,1983,25
Jan,1984,26
Feb,1984,17
Mar,1984,60
Apr,1984,42
May,1984,25
Jun,1984,23
Jly,1984,26
Aug,1984,23
Sep,1984,23
Oct,1984,28
Nov,1984,19
Dec,1984,24
Jan,1985,21
Feb,1985,22
Mar,1985,71
Apr,1985,61
May,1985,30
Jun,1985,20
Jly,1985,15
Aug,1985,20
Sep,1985,11
Oct,1985,16
Nov,1985,18
Dec,1985,10
Jan,1986,9
Feb,1986,17
Mar,1986,30
Apr,1986,51
May,1986,9
Jun,1986,24
Jly,1986,28
Aug,1986,9
Sep,1986,10
Oct,1986,6
Nov,1986,14
Dec,1986,14
Jan,1987,13
Feb,1987,5
Mar,1987,12
Apr,1987,28
May,1987,29
Jun,1987,18
Jly,1987,10
Aug,1987,7
Sep,1987,7
Oct,1987,11
Nov,1987,4
Dec,1987,15
Jan,1988,10
Feb,1988,21
Mar,1988,26
Apr,1988,32
May,1988,11
Jun,1988,9
Jly,1988,14
Aug,1988,8
Sep,1988,18
Oct,1988,12
Nov,1988,10
Dec,1988,17
Jan,1989,20
Feb,1989,9
Mar,1989,18
Apr,1989,23
May,1989,9
Jun,1989,8
Jly,1989,7
Aug,1989,6
Sep,1989,7
Oct,1989,30
Nov,1989,27
Dec,1989,20
Jan,1990,16
Feb,1990,23
Mar,1990,51
Apr,1990,79
May,1990,30
Jun,1990,32
Jly,1990,13
Aug,1990,16
Sep,1990,23
Oct,1990,26
Nov,1990,33
Dec,1990,44
Jan,1991,22
Feb,1991,24
Mar,1991,62
Apr,1991,117
May,1991,106
Jun,1991,59
Jly,1991,33
Aug,1991,29
Sep,1991,11
Oct,1991,23
Nov,1991,13
Dec,1991,25
Jan,1992,35
Feb,1992,52
Mar,1992,74
Apr,1992,65
May,1992,38
Jun,1992,36
Jly,1992,30
Aug,1992,25
Sep,1992,19
Oct,1992,22
Nov,1992,23
Dec,1992,40
Jan,1993,25
Feb,1993,36
Mar,1993,30
Apr,1993,55
May,1993,70
Jun,1993,35
Jly,1993,49
Aug,1993,22
Sep,1993,23
Oct,1993,33
Nov,1993,32
Dec,1993,45
Jan,1994,64
Feb,1994,108
Mar,1994,119
Apr,1994,269
May,1994,74
Jun,1994,37
Jly,1994,21
Aug,1994,33
Sep,1994,24
Oct,1994,129
Nov,1994,100
Dec,1994,71
Jan,1995,37
Feb,1995,37
Mar,1995,56
Apr,1995,86
May,1995,63
Jun,1995,42
Jly,1995,30
Aug,1995,31
Sep,1995,36
Oct,1995,71
Nov,1995,35
Dec,1995,36
Jan,1996,53
Feb,1996,97
Mar,1996,116
Apr,1996,68
May,1996,85
Jun,1996,59
Jly,1996,37
Aug,1996,43
Sep,1996,51
Oct,1996,39
Nov,1996,48
Dec,1996,78
Jan,1997,81
Feb,1997,59
Mar,1997,257
Apr,1997,376
May,1997,78
Jun,1997,24
Jly,1997,12
Aug,1997,11
Sep,1997,19
Oct,1997,139
Nov,1997,278
Dec,1997,251
Jan,1998,45
Feb,1998,27
Mar,1998,6
Apr,1998,37
May,1998,25
Jun,1998,31
Jly,1998,26
Aug,1998,21
Sep,1998,55
Oct,1998,41
Nov,1998,40
Dec,1998,27
Jan,1999,70
Feb,1999,77
Mar,1999,232
Apr,1999,202
May,1999,45
Jun,1999,36
Jly,1999,15
Aug,1999,24
Sep,1999,21
Oct,1999,43
Nov,1999,44
Dec,1999,41
Jan,2000,37
Feb,2000,44
Mar,2000,59
Apr,2000,50
May,2000,40
Jun,2000,21
Jly,2000,21
Aug,2000,11
Sep,2000,18
Oct,2000,76
Nov,2000,45
Dec,2000,47
Jan,2001,36
Feb,2001,19
Mar,2001,18
Apr,2001,14
May,2001,20
Jun,2001,22
Jly,2001,19
Aug,2001,11
Sep,2001,10
Oct,2001,58
Nov,2001,39
Dec,2001,27
Jan,2002,24
Feb,2002,33
Mar,2002,39
Apr,2002,87
May,2002,35
Jun,2002,33
Jly,2002,22
Aug,2002,20
Sep,2002,5
Oct,2002,72
Nov,2002,80
